"Date Time","Date Time(RAW)","Value (volume)","Value (volume)(RAW)","Value (speed)","Value (speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"9/1/2025 2:00:00 PM - 3:00:00 PM","45901.3333333333","334,287 Kbit","42788730.5093","295 Kbit/s","37815.9351","0 %","0.0000","31 %","0000003143"
"9/1/2025 3:00:00 PM - 4:00:00 PM","45901.3750000000","792,773 Kbit","101474984.3298","220 Kbit/s","28190.0014","0 %","0.0000","100 %","0000009999"
"9/1/2025 4:00:00 PM - 5:00:00 PM","45901.4166666667","677,256 Kbit","86688767.3640","188 Kbit/s","24082.3538","0 %","0.0000","100 %","0000009999"
"9/1/2025 5:00:00 PM - 6:00:00 PM","45901.4583333333","883,792 Kbit","113125377.0569","246 Kbit/s","31426.1601","0 %","0.0000","100 %","0000009999"
"9/1/2025 6:00:00 PM - 7:00:00 PM","45901.5000000000","838,700 Kbit","107353663.7287","233 Kbit/s","29822.6988","0 %","0.0000","100 %","0000009999"
"9/1/2025 7:00:00 PM - 8:00:00 PM","45901.5416666667","725,272 Kbit","92834816.0652","201 Kbit/s","25789.6697","0 %","0.0000","100 %","0000009999"
"9/1/2025 8:00:00 PM - 9:00:00 PM","45901.5833333333","669,266 Kbit","85666090.1458","186 Kbit/s","23797.9871","0 %","0.0000","100 %","0000009999"
"9/1/2025 9:00:00 PM - 10:00:00 PM","45901.6250000000","1,728,141 Kbit","221202067.0485","480 Kbit/s","61450.4809","0 %","0.0000","100 %","0000009999"
"9/1/2025 10:00:00 PM - 11:00:00 PM","45901.6666666667","715,066 Kbit","91528411.3170","199 Kbit/s","25426.5363","0 %","0.0000","100 %","0000009999"
"9/1/2025 11:00:00 PM - 12:00:00 AM","45901.7083333333","748,851 Kbit","95852978.7652","208 Kbit/s","26627.8245","0 %","0.0000","100 %","0000009999"
"9/2/2025 12:00:00 AM - 1:00:00 AM","45901.7500000000","737,984 Kbit","94461958.7622","205 Kbit/s","26241.6927","0 %","0.0000","100 %","0000009999"
"9/2/2025 1:00:00 AM - 2:00:00 AM","45901.7916666667","1,090,741 Kbit","139614881.1352","303 Kbit/s","38785.3590","0 %","0.0000","100 %","0000009999"
"9/2/2025 2:00:00 AM - 3:00:00 AM","45901.8333333333","908,614 Kbit","116302606.0041","252 Kbit/s","32308.9719","0 %","0.0000","100 %","0000009999"
"9/2/2025 3:00:00 AM - 4:00:00 AM","45901.8750000000","1,172,173 Kbit","150038194.0392","326 Kbit/s","41680.7495","0 %","0.0000","100 %","0000009999"
"9/2/2025 4:00:00 AM - 5:00:00 AM","45901.9166666667","1,361,663 Kbit","174292865.9857","378 Kbit/s","48418.7199","0 %","0.0000","100 %","0000009999"
"9/2/2025 5:00:00 AM - 6:00:00 AM","45901.9583333333","1,365,804 Kbit","174822939.9745","379 Kbit/s","48566.3797","0 %","0.0000","100 %","0000009999"
"9/2/2025 6:00:00 AM - 7:00:00 AM","45902.0000000000","1,739,713 Kbit","222683318.8433","483 Kbit/s","61861.6326","0 %","0.0000","100 %","0000009999"
"9/2/2025 7:00:00 AM - 8:00:00 AM","45902.0416666667","746,071 Kbit","95497043.1653","207 Kbit/s","26529.0935","0 %","0.0000","100 %","0000009999"
"9/2/2025 8:00:00 AM - 9:00:00 AM","45902.0833333333","712,325 Kbit","91177601.6087","198 Kbit/s","25329.1520","0 %","0.0000","100 %","0000009999"
"9/2/2025 9:00:00 AM - 10:00:00 AM","45902.1250000000","776,251 Kbit","99360108.9862","216 Kbit/s","27602.2538","0 %","0.0000","100 %","0000009999"
