"Date Time","Date Time(RAW)","Download IXP (volume)","Download IXP (volume)(RAW)","Download IXP (speed)","Download IXP (speed)(RAW)","Upload IXP (volume)","Upload IXP (volume)(RAW)","Upload IXP (speed)","Upload IXP (speed)(RAW)","Download NIX (volume)","Download NIX (volume)(RAW)","Download NIX (speed)","Download NIX (speed)(RAW)","Upload NIX (volume)","Upload NIX (volume)(RAW)","Upload NIX (speed)","Upload NIX (speed)(RAW)","Total (volume)","Total (volume)(RAW)","Total (speed)","Total (speed)(RAW)","Coverage","Coverage(RAW)"
"1/1/2025 10:00:00 AM - 11:00:00 AM","45658.1666666667","408 Mbit","408.2703","0.29 Mbit/s","0.2925","460 Mbit","460.3976","0.33 Mbit/s","0.3296","461 Mbit","460.8732","0.33 Mbit/s","0.3297","11 Mbit","11.0613","","0.0079","1,341 Mbit","1340.6024","0.96 Mbit/s","0.9584","39 %","0000003886"
"1/1/2025 11:00:00 AM - 12:00:00 PM","45658.2083333333","1,727 Mbit","1726.9991","0.48 Mbit/s","0.4798","1,364 Mbit","1363.9263","0.38 Mbit/s","0.3789","1,365 Mbit","1364.6030","0.38 Mbit/s","0.3791","29 Mbit","28.6359","","0.0080","4,484 Mbit","4484.1643","1.25 Mbit/s","1.2457","100 %","0000009999"
"1/1/2025 12:00:00 PM - 1:00:00 PM","45658.2500000000","1,097 Mbit","1096.5313","0.30 Mbit/s","0.3046","1,339 Mbit","1338.8001","0.37 Mbit/s","0.3719","1,338 Mbit","1338.2759","0.37 Mbit/s","0.3718","29 Mbit","28.5623","","0.0079","3,802 Mbit","3802.1696","1.06 Mbit/s","1.0562","100 %","0000009999"
"1/1/2025 1:00:00 PM - 2:00:00 PM","45658.2916666667","1,199 Mbit","1199.4371","0.33 Mbit/s","0.3332","1,352 Mbit","1352.1492","0.38 Mbit/s","0.3756","1,352 Mbit","1352.0276","0.38 Mbit/s","0.3756","28 Mbit","28.4429","","0.0079","3,932 Mbit","3932.0567","1.09 Mbit/s","1.0923","100 %","0000009999"
"1/1/2025 2:00:00 PM - 3:00:00 PM","45658.3333333333","1,939 Mbit","1938.5344","0.54 Mbit/s","0.5385","1,352 Mbit","1352.2559","0.38 Mbit/s","0.3757","1,352 Mbit","1352.2936","0.38 Mbit/s","0.3757","29 Mbit","28.5385","","0.0079","4,672 Mbit","4671.6224","1.30 Mbit/s","1.2978","100 %","0000009999"
"1/1/2025 3:00:00 PM - 4:00:00 PM","45658.3750000000","1,079 Mbit","1078.6957","0.30 Mbit/s","0.2997","1,344 Mbit","1344.0058","0.37 Mbit/s","0.3734","1,344 Mbit","1344.1688","0.37 Mbit/s","0.3734","29 Mbit","28.6494","","0.0080","3,796 Mbit","3795.5196","1.05 Mbit/s","1.0544","100 %","0000009999"
"1/1/2025 4:00:00 PM - 5:00:00 PM","45658.4166666667","1,172 Mbit","1171.6377","0.33 Mbit/s","0.3255","1,357 Mbit","1356.8909","0.38 Mbit/s","0.3769","1,357 Mbit","1356.7351","0.38 Mbit/s","0.3769","29 Mbit","28.7422","","0.0080","3,914 Mbit","3914.0059","1.09 Mbit/s","1.0873","100 %","0000009999"
"1/1/2025 5:00:00 PM - 6:00:00 PM","45658.4583333333","3,319 Mbit","3318.9107","0.92 Mbit/s","0.9220","1,467 Mbit","1467.1768","0.41 Mbit/s","0.4076","1,467 Mbit","1467.3518","0.41 Mbit/s","0.4076","29 Mbit","28.6837","","0.0080","6,282 Mbit","6282.1230","1.75 Mbit/s","1.7452","100 %","0000009999"
"1/1/2025 6:00:00 PM - 7:00:00 PM","45658.5000000000","3,275 Mbit","3275.0413","0.91 Mbit/s","0.9098","1,556 Mbit","1556.2665","0.43 Mbit/s","0.4323","1,556 Mbit","1556.1859","0.43 Mbit/s","0.4323","29 Mbit","29.0941","","0.0081","6,417 Mbit","6416.5878","1.78 Mbit/s","1.7825","100 %","0000009999"
"1/1/2025 7:00:00 PM - 8:00:00 PM","45658.5416666667","2,502 Mbit","2502.1162","0.70 Mbit/s","0.6951","1,579 Mbit","1578.7466","0.44 Mbit/s","0.4386","1,581 Mbit","1580.5069","0.44 Mbit/s","0.4391","29 Mbit","28.5944","","0.0079","5,690 Mbit","5689.9641","1.58 Mbit/s","1.5807","100 %","0000009999"
"1/1/2025 8:00:00 PM - 9:00:00 PM","45658.5833333333","4,935 Mbit","4935.1999","1.37 Mbit/s","1.3710","1,531 Mbit","1530.7534","0.43 Mbit/s","0.4252","1,529 Mbit","1528.8172","0.42 Mbit/s","0.4247","28 Mbit","28.4406","","0.0079","8,023 Mbit","8023.2111","2.23 Mbit/s","2.2288","100 %","0000009999"
"1/1/2025 9:00:00 PM - 10:00:00 PM","45658.6250000000","5,013 Mbit","5012.7794","1.39 Mbit/s","1.3925","1,694 Mbit","1694.1118","0.47 Mbit/s","0.4706","1,696 Mbit","1696.0906","0.47 Mbit/s","0.4712","29 Mbit","28.5009","","0.0079","8,431 Mbit","8431.4827","2.34 Mbit/s","2.3423","100 %","0000009999"
"1/1/2025 10:00:00 PM - 11:00:00 PM","45658.6666666667","5,199 Mbit","5199.4258","1.44 Mbit/s","1.4444","1,580 Mbit","1579.5708","0.44 Mbit/s","0.4388","1,580 Mbit","1580.0260","0.44 Mbit/s","0.4389","33 Mbit","33.3142","","0.0093","8,392 Mbit","8392.3367","2.33 Mbit/s","2.3314","100 %","0000009999"
"1/1/2025 11:00:00 PM - 12:00:00 AM","45658.7083333333","4,123 Mbit","4123.0383","1.15 Mbit/s","1.1454","1,640 Mbit","1640.1113","0.46 Mbit/s","0.4556","1,640 Mbit","1639.7932","0.46 Mbit/s","0.4555","29 Mbit","28.5615","","0.0079","7,432 Mbit","7431.5044","2.06 Mbit/s","2.0645","100 %","0000009999"
"1/2/2025 12:00:00 AM - 1:00:00 AM","45658.7500000000","3,184 Mbit","3183.5216","0.88 Mbit/s","0.8844","1,607 Mbit","1606.9497","0.45 Mbit/s","0.4464","1,605 Mbit","1605.3556","0.45 Mbit/s","0.4460","29 Mbit","28.5140","","0.0079","6,424 Mbit","6424.3410","1.78 Mbit/s","1.7847","100 %","0000009999"
"1/2/2025 1:00:00 AM - 2:00:00 AM","45658.7916666667","2,388 Mbit","2388.2446","0.66 Mbit/s","0.6635","1,436 Mbit","1436.2281","0.40 Mbit/s","0.3990","1,436 Mbit","1435.7194","0.40 Mbit/s","0.3988","30 Mbit","30.3340","","0.0084","5,291 Mbit","5290.5261","1.47 Mbit/s","1.4697","100 %","0000009999"
"1/2/2025 2:00:00 AM - 3:00:00 AM","45658.8333333333","1,643 Mbit","1642.8800","0.46 Mbit/s","0.4564","1,378 Mbit","1377.8670","0.38 Mbit/s","0.3828","1,378 Mbit","1377.8982","0.38 Mbit/s","0.3828","29 Mbit","28.8045","","0.0080","4,427 Mbit","4427.4498","1.23 Mbit/s","1.2299","100 %","0000009999"
"1/2/2025 3:00:00 AM - 4:00:00 AM","45658.8750000000","1,367 Mbit","1367.4600","0.38 Mbit/s","0.3799","1,439 Mbit","1439.2907","0.40 Mbit/s","0.3998","1,440 Mbit","1439.5322","0.40 Mbit/s","0.3999","29 Mbit","28.9573","","0.0080","4,275 Mbit","4275.2401","1.19 Mbit/s","1.1877","100 %","0000009999"
"1/2/2025 4:00:00 AM - 5:00:00 AM","45658.9166666667","2,055 Mbit","2055.3857","0.57 Mbit/s","0.5710","1,344 Mbit","1344.4619","0.37 Mbit/s","0.3735","1,344 Mbit","1344.4235","0.37 Mbit/s","0.3735","28 Mbit","28.4501","","0.0079","4,773 Mbit","4772.7213","1.33 Mbit/s","1.3259","100 %","0000009999"
"1/2/2025 5:00:00 AM - 6:00:00 AM","45658.9583333333","4,263 Mbit","4262.6371","1.18 Mbit/s","1.1842","1,515 Mbit","1514.5025","0.42 Mbit/s","0.4207","1,515 Mbit","1514.9842","0.42 Mbit/s","0.4209","30 Mbit","30.1268","","0.0084","7,322 Mbit","7322.2506","2.03 Mbit/s","2.0341","100 %","0000009999"
"1/2/2025 6:00:00 AM - 7:00:00 AM","45659.0000000000","1,829 Mbit","1829.2174","0.51 Mbit/s","0.5082","2,356 Mbit","2356.1343","0.65 Mbit/s","0.6545","2,356 Mbit","2355.6128","0.65 Mbit/s","0.6544","94 Mbit","94.4378","0.03 Mbit/s","0.0262","6,635 Mbit","6635.4024","1.84 Mbit/s","1.8433","100 %","0000009999"
"1/2/2025 7:00:00 AM - 8:00:00 AM","45659.0416666667","35,635 Mbit","35634.6859","9.90 Mbit/s","9.8992","9,830 Mbit","9829.9893","2.73 Mbit/s","2.7308","9,836 Mbit","9835.8865","2.73 Mbit/s","2.7324","388 Mbit","387.7883","0.11 Mbit/s","0.1077","55,688 Mbit","55688.3500","15 Mbit/s","15.4701","100 %","0000009999"
"1/2/2025 8:00:00 AM - 9:00:00 AM","45659.0833333333","313,793 Mbit","313793.2159","87 Mbit/s","87.1725","99,322 Mbit","99321.8005","28 Mbit/s","27.5918","99,382 Mbit","99382.2073","28 Mbit/s","27.6087","2,064 Mbit","2063.9894","0.57 Mbit/s","0.5734","514,561 Mbit","514561.2131","143 Mbit/s","142.9464","100 %","0000009999"
"1/2/2025 9:00:00 AM - 10:00:00 AM","45659.1250000000","1,061,786 Mbit","1061785.8487","295 Mbit/s","294.9651","299,573 Mbit","299573.0048","83 Mbit/s","83.2214","299,602 Mbit","299602.0128","83 Mbit/s","83.2297","3,687 Mbit","3687.1533","1.02 Mbit/s","1.0243","1,664,648 Mbit","1664648.0197","462 Mbit/s","462.4395","100 %","0000009999"
"1/2/2025 10:00:00 AM - 11:00:00 AM","45659.1666666667","928,519 Mbit","928518.7135","258 Mbit/s","257.9448","376,559 Mbit","376558.8365","105 Mbit/s","104.6087","376,554 Mbit","376553.5375","105 Mbit/s","104.6069","4,140 Mbit","4140.2275","1.15 Mbit/s","1.1502","1,685,771 Mbit","1685771.3150","468 Mbit/s","468.3075","100 %","0000009999"
"1/2/2025 11:00:00 AM - 12:00:00 PM","45659.2083333333","777,834 Mbit","777833.8202","216 Mbit/s","216.0836","347,846 Mbit","347846.3714","97 Mbit/s","96.6312","347,809 Mbit","347809.4336","97 Mbit/s","96.6215","4,961 Mbit","4961.1630","1.38 Mbit/s","1.3782","1,478,451 Mbit","1478450.7881","411 Mbit/s","410.7116","100 %","0000009999"
"1/2/2025 12:00:00 PM - 1:00:00 PM","45659.2500000000","514,199 Mbit","514198.9632","143 Mbit/s","142.8449","201,737 Mbit","201737.4510","56 Mbit/s","56.0432","201,754 Mbit","201754.4424","56 Mbit/s","56.0468","5,232 Mbit","5232.3820","1.45 Mbit/s","1.4536","922,923 Mbit","922923.2386","256 Mbit/s","256.3854","100 %","0000009999"
"1/2/2025 1:00:00 PM - 2:00:00 PM","45659.2916666667","869,471 Mbit","869470.7338","242 Mbit/s","241.5358","407,364 Mbit","407364.1616","113 Mbit/s","113.1652","407,387 Mbit","407387.3294","113 Mbit/s","113.1723","4,466 Mbit","4466.2568","1.24 Mbit/s","1.2407","1,688,688 Mbit","1688688.4816","469 Mbit/s","469.1114","100 %","0000009999"
"1/2/2025 2:00:00 PM - 3:00:00 PM","45659.3333333333","1,362,187 Mbit","1362186.6524","378 Mbit/s","378.4178","335,155 Mbit","335155.4144","93 Mbit/s","93.1057","335,164 Mbit","335164.1572","93 Mbit/s","93.1092","5,803 Mbit","5803.1094","1.61 Mbit/s","1.6121","2,038,309 Mbit","2038309.3335","566 Mbit/s","566.2395","100 %","0000009999"
"1/2/2025 3:00:00 PM - 4:00:00 PM","45659.3750000000","1,649,371 Mbit","1649371.3114","458 Mbit/s","458.2007","357,375 Mbit","357374.6911","99 Mbit/s","99.2785","357,335 Mbit","357335.3866","99 Mbit/s","99.2692","3,968 Mbit","3967.9740","1.10 Mbit/s","1.1023","2,368,049 Mbit","2368049.3631","658 Mbit/s","657.8427","100 %","0000009999"
"1/2/2025 4:00:00 PM - 5:00:00 PM","45659.4166666667","645,762 Mbit","645762.4375","179 Mbit/s","179.3924","192,495 Mbit","192495.2438","53 Mbit/s","53.4751","192,467 Mbit","192467.4506","53 Mbit/s","53.4676","2,841 Mbit","2840.8864","0.79 Mbit/s","0.7892","1,033,566 Mbit","1033566.0183","287 Mbit/s","287.1232","100 %","0000009999"
"1/2/2025 5:00:00 PM - 6:00:00 PM","45659.4583333333","201,584 Mbit","201584.0699","56 Mbit/s","56.0009","65,050 Mbit","65049.5559","18 Mbit/s","18.0709","65,022 Mbit","65022.4106","18 Mbit/s","18.0633","1,276 Mbit","1275.8228","0.35 Mbit/s","0.3544","332,932 Mbit","332931.8593","92 Mbit/s","92.4888","100 %","0000009999"
"1/2/2025 6:00:00 PM - 7:00:00 PM","45659.5000000000","42,747 Mbit","42747.0525","12 Mbit/s","11.8751","17,270 Mbit","17269.7122","4.80 Mbit/s","4.7975","17,264 Mbit","17264.3663","4.80 Mbit/s","4.7960","318 Mbit","317.6703","0.09 Mbit/s","0.0882","77,599 Mbit","77598.8012","22 Mbit/s","21.5568","100 %","0000009999"
"1/2/2025 7:00:00 PM - 8:00:00 PM","45659.5416666667","10,468 Mbit","10468.3235","2.91 Mbit/s","2.9081","4,178 Mbit","4178.2503","1.16 Mbit/s","1.1607","4,177 Mbit","4176.6946","1.16 Mbit/s","1.1603","71 Mbit","71.0793","0.02 Mbit/s","0.0197","18,894 Mbit","18894.3476","5.25 Mbit/s","5.2488","100 %","0000009999"
"1/2/2025 8:00:00 PM - 9:00:00 PM","45659.5833333333","13,606 Mbit","13606.3813","3.78 Mbit/s","3.7799","2,638 Mbit","2638.4171","0.73 Mbit/s","0.7330","2,637 Mbit","2637.4919","0.73 Mbit/s","0.7327","55 Mbit","55.2542","0.02 Mbit/s","0.0153","18,938 Mbit","18937.5445","5.26 Mbit/s","5.2608","100 %","0000009999"
"1/2/2025 9:00:00 PM - 10:00:00 PM","45659.6250000000","4,783 Mbit","4783.4690","1.33 Mbit/s","1.3288","1,988 Mbit","1988.3248","0.55 Mbit/s","0.5524","1,990 Mbit","1990.2177","0.55 Mbit/s","0.5529","51 Mbit","50.9608","0.01 Mbit/s","0.0142","8,813 Mbit","8812.9724","2.45 Mbit/s","2.4482","100 %","0000009999"
"1/2/2025 10:00:00 PM - 11:00:00 PM","45659.6666666667","5,287 Mbit","5286.5522","1.47 Mbit/s","1.4686","1,663 Mbit","1663.4123","0.46 Mbit/s","0.4621","1,662 Mbit","1661.5943","0.46 Mbit/s","0.4616","28 Mbit","28.3778","","0.0079","8,640 Mbit","8639.9366","2.40 Mbit/s","2.4001","100 %","0000009999"
"1/2/2025 11:00:00 PM - 12:00:00 AM","45659.7083333333","6,473 Mbit","6473.1085","1.80 Mbit/s","1.7982","1,720 Mbit","1719.8809","0.48 Mbit/s","0.4778","1,720 Mbit","1719.7357","0.48 Mbit/s","0.4777","28 Mbit","28.3884","","0.0079","9,941 Mbit","9941.1134","2.76 Mbit/s","2.7616","100 %","0000009999"
"1/3/2025 12:00:00 AM - 1:00:00 AM","45659.7500000000","3,269 Mbit","3268.9352","0.91 Mbit/s","0.9081","1,524 Mbit","1524.3789","0.42 Mbit/s","0.4235","1,524 Mbit","1524.3913","0.42 Mbit/s","0.4235","28 Mbit","28.3009","","0.0079","6,346 Mbit","6346.0063","1.76 Mbit/s","1.7629","100 %","0000009999"
"1/3/2025 1:00:00 AM - 2:00:00 AM","45659.7916666667","3,429 Mbit","3429.0050","0.95 Mbit/s","0.9526","1,740 Mbit","1739.5923","0.48 Mbit/s","0.4833","1,740 Mbit","1739.5967","0.48 Mbit/s","0.4833","30 Mbit","30.4059","","0.0084","6,939 Mbit","6938.5999","1.93 Mbit/s","1.9275","100 %","0000009999"
"1/3/2025 2:00:00 AM - 3:00:00 AM","45659.8333333333","1,770 Mbit","1769.8927","0.49 Mbit/s","0.4917","1,506 Mbit","1505.5405","0.42 Mbit/s","0.4182","1,506 Mbit","1506.1680","0.42 Mbit/s","0.4184","29 Mbit","28.9210","","0.0080","4,811 Mbit","4810.5222","1.34 Mbit/s","1.3364","100 %","0000009999"
"1/3/2025 3:00:00 AM - 4:00:00 AM","45659.8750000000","1,518 Mbit","1517.7760","0.42 Mbit/s","0.4216","1,580 Mbit","1579.6497","0.44 Mbit/s","0.4388","1,579 Mbit","1579.1346","0.44 Mbit/s","0.4387","29 Mbit","28.8153","","0.0080","4,705 Mbit","4705.3755","1.31 Mbit/s","1.3071","100 %","0000009999"
"1/3/2025 4:00:00 AM - 5:00:00 AM","45659.9166666667","1,461 Mbit","1460.8237","0.41 Mbit/s","0.4058","1,434 Mbit","1433.5391","0.40 Mbit/s","0.3982","1,434 Mbit","1433.8762","0.40 Mbit/s","0.3983","29 Mbit","28.8033","","0.0080","4,357 Mbit","4357.0424","1.21 Mbit/s","1.2104","100 %","0000009999"
"1/3/2025 5:00:00 AM - 6:00:00 AM","45659.9583333333","7,130 Mbit","7130.4690","1.98 Mbit/s","1.9808","1,601 Mbit","1600.6815","0.44 Mbit/s","0.4447","1,600 Mbit","1600.2268","0.44 Mbit/s","0.4445","41 Mbit","41.1033","0.01 Mbit/s","0.0114","10,372 Mbit","10372.4806","2.88 Mbit/s","2.8815","100 %","0000009999"
"1/3/2025 6:00:00 AM - 7:00:00 AM","45660.0000000000","1,344 Mbit","1344.4304","0.37 Mbit/s","0.3735","1,490 Mbit","1490.1055","0.41 Mbit/s","0.4139","1,491 Mbit","1490.7685","0.41 Mbit/s","0.4141","45 Mbit","45.4377","0.01 Mbit/s","0.0126","4,371 Mbit","4370.7421","1.21 Mbit/s","1.2142","100 %","0000009999"
"1/3/2025 7:00:00 AM - 8:00:00 AM","45660.0416666667","11,344 Mbit","11344.2733","3.15 Mbit/s","3.1514","4,747 Mbit","4747.1648","1.32 Mbit/s","1.3188","4,750 Mbit","4749.7637","1.32 Mbit/s","1.3195","943 Mbit","942.9816","0.26 Mbit/s","0.2620","21,784 Mbit","21784.1835","6.05 Mbit/s","6.0516","100 %","0000009999"
"1/3/2025 8:00:00 AM - 9:00:00 AM","45660.0833333333","157,627 Mbit","157627.2724","44 Mbit/s","43.7884","46,673 Mbit","46672.8891","13 Mbit/s","12.9658","46,698 Mbit","46697.7848","13 Mbit/s","12.9727","1,424 Mbit","1423.6472","0.40 Mbit/s","0.3955","252,422 Mbit","252421.5935","70 Mbit/s","70.1220","100 %","0000009999"
"1/3/2025 9:00:00 AM - 10:00:00 AM","45660.1250000000","723,236 Mbit","723235.8522","201 Mbit/s","200.9134","170,985 Mbit","170985.4829","47 Mbit/s","47.4993","171,011 Mbit","171010.8251","48 Mbit/s","47.5071","3,812 Mbit","3812.4969","1.06 Mbit/s","1.0591","1,069,045 Mbit","1069044.6571","297 Mbit/s","296.9775","100 %","0000009999"
"1/3/2025 10:00:00 AM - 11:00:00 AM","45660.1666666667","663,617 Mbit","663617.0919","184 Mbit/s","184.3509","212,364 Mbit","212363.5964","59 Mbit/s","58.9946","212,369 Mbit","212368.8455","59 Mbit/s","58.9963","7,755 Mbit","7754.5382","2.15 Mbit/s","2.1542","1,096,104 Mbit","1096104.0720","304 Mbit/s","304.4945","100 %","0000009999"
"1/3/2025 11:00:00 AM - 12:00:00 PM","45660.2083333333","549,979 Mbit","549978.5327","153 Mbit/s","152.7833","195,052 Mbit","195051.6598","54 Mbit/s","54.1852","195,025 Mbit","195024.6585","54 Mbit/s","54.1779","3,447 Mbit","3446.7090","0.96 Mbit/s","0.9575","943,502 Mbit","943501.5599","262 Mbit/s","262.1034","100 %","0000009999"
"1/3/2025 12:00:00 PM - 1:00:00 PM","45660.2500000000","340,476 Mbit","340476.2182","95 Mbit/s","94.5849","97,404 Mbit","97404.0364","27 Mbit/s","27.0587","97,407 Mbit","97407.2438","27 Mbit/s","27.0597","3,183 Mbit","3182.8447","0.88 Mbit/s","0.8842","538,470 Mbit","538470.3431","150 Mbit/s","149.5863","100 %","0000009999"
"1/3/2025 1:00:00 PM - 2:00:00 PM","45660.2916666667","505,222 Mbit","505221.9854","140 Mbit/s","140.3507","190,238 Mbit","190237.8648","53 Mbit/s","52.8483","190,269 Mbit","190269.3035","53 Mbit/s","52.8570","3,998 Mbit","3997.6349","1.11 Mbit/s","1.1106","889,727 Mbit","889726.7886","247 Mbit/s","247.1662","100 %","0000009999"
"1/3/2025 2:00:00 PM - 3:00:00 PM","45660.3333333333","598,222 Mbit","598222.3393","166 Mbit/s","166.1863","289,439 Mbit","289438.9648","80 Mbit/s","80.4069","289,447 Mbit","289447.1731","80 Mbit/s","80.4087","3,033 Mbit","3032.6176","0.84 Mbit/s","0.8425","1,180,141 Mbit","1180141.0947","328 Mbit/s","327.8434","100 %","0000009999"
"1/3/2025 3:00:00 PM - 4:00:00 PM","45660.3750000000","488,289 Mbit","488289.1976","136 Mbit/s","135.6457","272,345 Mbit","272344.8141","76 Mbit/s","75.6566","272,356 Mbit","272356.4885","76 Mbit/s","75.6607","4,139 Mbit","4139.3229","1.15 Mbit/s","1.1499","1,037,130 Mbit","1037129.8232","288 Mbit/s","288.1116","100 %","0000009999"
"1/3/2025 4:00:00 PM - 5:00:00 PM","45660.4166666667","407,482 Mbit","407482.4300","113 Mbit/s","113.1990","144,431 Mbit","144431.3926","40 Mbit/s","40.1233","144,370 Mbit","144369.7826","40 Mbit/s","40.1056","6,893 Mbit","6892.5620","1.91 Mbit/s","1.9147","703,176 Mbit","703176.1672","195 Mbit/s","195.3408","100 %","0000009999"
"1/3/2025 5:00:00 PM - 6:00:00 PM","45660.4583333333","135,467 Mbit","135466.6185","38 Mbit/s","37.6326","44,621 Mbit","44621.2113","12 Mbit/s","12.3957","44,604 Mbit","44604.0026","12 Mbit/s","12.3911","1,066 Mbit","1066.1355","0.30 Mbit/s","0.2962","225,758 Mbit","225757.9678","63 Mbit/s","62.7154","100 %","0000009999"
"1/3/2025 6:00:00 PM - 7:00:00 PM","45660.5000000000","48,706 Mbit","48705.5911","14 Mbit/s","13.5304","18,187 Mbit","18187.1030","5.05 Mbit/s","5.0524","18,181 Mbit","18180.5608","5.05 Mbit/s","5.0506","1,225 Mbit","1225.2525","0.34 Mbit/s","0.3404","86,299 Mbit","86298.5074","24 Mbit/s","23.9733","100 %","0000009999"
"1/3/2025 7:00:00 PM - 8:00:00 PM","45660.5416666667","22,319 Mbit","22318.8071","6.20 Mbit/s","6.2002","3,948 Mbit","3947.6918","1.10 Mbit/s","1.0967","3,947 Mbit","3946.8267","1.10 Mbit/s","1.0964","1,187 Mbit","1186.7311","0.33 Mbit/s","0.3297","31,400 Mbit","31400.0567","8.72 Mbit/s","8.7229","100 %","0000009999"
"1/3/2025 8:00:00 PM - 9:00:00 PM","45660.5833333333","4,803 Mbit","4803.3339","1.33 Mbit/s","1.3344","1,734 Mbit","1734.1212","0.48 Mbit/s","0.4817","1,734 Mbit","1734.1718","0.48 Mbit/s","0.4818","30 Mbit","29.8262","","0.0083","8,301 Mbit","8301.4532","2.31 Mbit/s","2.3061","100 %","0000009999"
"1/3/2025 9:00:00 PM - 10:00:00 PM","45660.6250000000","4,334 Mbit","4334.3426","1.20 Mbit/s","1.2041","1,694 Mbit","1694.3948","0.47 Mbit/s","0.4707","1,694 Mbit","1694.2757","0.47 Mbit/s","0.4707","29 Mbit","29.2171","","0.0081","7,752 Mbit","7752.2303","2.15 Mbit/s","2.1536","100 %","0000009999"
"1/3/2025 10:00:00 PM - 11:00:00 PM","45660.6666666667","5,870 Mbit","5870.0146","1.63 Mbit/s","1.6307","1,715 Mbit","1714.7732","0.48 Mbit/s","0.4764","1,715 Mbit","1715.2199","0.48 Mbit/s","0.4765","29 Mbit","28.9542","","0.0080","9,329 Mbit","9328.9618","2.59 Mbit/s","2.5916","100 %","0000009999"
"1/3/2025 11:00:00 PM - 12:00:00 AM","45660.7083333333","4,634 Mbit","4634.1155","1.29 Mbit/s","1.2874","1,717 Mbit","1717.4906","0.48 Mbit/s","0.4771","1,719 Mbit","1719.0459","0.48 Mbit/s","0.4776","29 Mbit","28.5827","","0.0079","8,099 Mbit","8099.2347","2.25 Mbit/s","2.2500","100 %","0000009999"
"1/4/2025 12:00:00 AM - 1:00:00 AM","45660.7500000000","3,367 Mbit","3367.2887","0.94 Mbit/s","0.9354","1,710 Mbit","1709.9611","0.48 Mbit/s","0.4750","1,708 Mbit","1707.9390","0.47 Mbit/s","0.4745","29 Mbit","29.0098","","0.0081","6,814 Mbit","6814.1986","1.89 Mbit/s","1.8930","100 %","0000009999"
"1/4/2025 1:00:00 AM - 2:00:00 AM","45660.7916666667","4,306 Mbit","4306.0285","1.20 Mbit/s","1.1962","1,572 Mbit","1571.9520","0.44 Mbit/s","0.4367","1,572 Mbit","1571.9506","0.44 Mbit/s","0.4367","30 Mbit","30.2047","","0.0084","7,480 Mbit","7480.1358","2.08 Mbit/s","2.0780","100 %","0000009999"
"1/4/2025 2:00:00 AM - 3:00:00 AM","45660.8333333333","2,270 Mbit","2269.9874","0.63 Mbit/s","0.6306","1,740 Mbit","1739.7243","0.48 Mbit/s","0.4833","1,740 Mbit","1739.7529","0.48 Mbit/s","0.4833","32 Mbit","31.5385","","0.0088","5,781 Mbit","5781.0032","1.61 Mbit/s","1.6060","100 %","0000009999"
"1/4/2025 3:00:00 AM - 4:00:00 AM","45660.8750000000","1,525 Mbit","1524.8893","0.42 Mbit/s","0.4236","1,484 Mbit","1484.1817","0.41 Mbit/s","0.4123","1,484 Mbit","1484.2151","0.41 Mbit/s","0.4123","29 Mbit","29.2309","","0.0081","4,523 Mbit","4522.5171","1.26 Mbit/s","1.2563","100 %","0000009999"
"1/4/2025 4:00:00 AM - 5:00:00 AM","45660.9166666667","1,540 Mbit","1539.9292","0.43 Mbit/s","0.4278","1,426 Mbit","1426.2739","0.40 Mbit/s","0.3962","1,426 Mbit","1426.2273","0.40 Mbit/s","0.3962","28 Mbit","28.4600","","0.0079","4,421 Mbit","4420.8904","1.23 Mbit/s","1.2281","100 %","0000009999"
"1/4/2025 5:00:00 AM - 6:00:00 AM","45660.9583333333","4,542 Mbit","4541.9279","1.26 Mbit/s","1.2618","1,578 Mbit","1578.4856","0.44 Mbit/s","0.4385","1,579 Mbit","1579.0988","0.44 Mbit/s","0.4387","30 Mbit","29.7797","","0.0083","7,729 Mbit","7729.2920","2.15 Mbit/s","2.1472","100 %","0000009999"
"1/4/2025 6:00:00 AM - 7:00:00 AM","45661.0000000000","1,080 Mbit","1079.7045","0.30 Mbit/s","0.2999","1,406 Mbit","1405.8791","0.39 Mbit/s","0.3906","1,406 Mbit","1405.8117","0.39 Mbit/s","0.3905","30 Mbit","30.1763","","0.0084","3,922 Mbit","3921.5716","1.09 Mbit/s","1.0894","100 %","0000009999"
"1/4/2025 7:00:00 AM - 8:00:00 AM","45661.0416666667","2,720 Mbit","2720.4906","0.76 Mbit/s","0.7558","1,555 Mbit","1554.7101","0.43 Mbit/s","0.4319","1,554 Mbit","1554.1671","0.43 Mbit/s","0.4317","103 Mbit","102.6849","0.03 Mbit/s","0.0285","5,932 Mbit","5932.0526","1.65 Mbit/s","1.6479","100 %","0000009999"
"1/4/2025 8:00:00 AM - 9:00:00 AM","45661.0833333333","2,023 Mbit","2022.5612","0.56 Mbit/s","0.5619","1,558 Mbit","1557.7877","0.43 Mbit/s","0.4328","1,558 Mbit","1557.8215","0.43 Mbit/s","0.4328","206 Mbit","206.4342","0.06 Mbit/s","0.0573","5,345 Mbit","5344.6045","1.48 Mbit/s","1.4847","100 %","0000009999"
