"Date Time","Date Time(RAW)","Download IXP (volume)","Download IXP (volume)(RAW)","Download IXP (speed)","Download IXP (speed)(RAW)","Upload IXP (volume)","Upload IXP (volume)(RAW)","Upload IXP (speed)","Upload IXP (speed)(RAW)","Download NIX (volume)","Download NIX (volume)(RAW)","Download NIX (speed)","Download NIX (speed)(RAW)","Upload NIX (volume)","Upload NIX (volume)(RAW)","Upload NIX (speed)","Upload NIX (speed)(RAW)","Total (volume)","Total (volume)(RAW)","Total (speed)","Total (speed)(RAW)","Coverage","Coverage(RAW)"
"1/29/2025 4:00:00 PM - 5:00:00 PM","45686.4166666667","1,137 Mbit","1137.3976","0.32 Mbit/s","0.3160","1,338 Mbit","1337.7090","0.37 Mbit/s","0.3716","1,337 Mbit","1337.1845","0.37 Mbit/s","0.3715","28 Mbit","28.3701","","0.0079","3,841 Mbit","3840.6612","1.07 Mbit/s","1.0669","100 %","0000009999"
"1/29/2025 5:00:00 PM - 6:00:00 PM","45686.4583333333","3,243 Mbit","3243.4012","0.90 Mbit/s","0.9010","1,336 Mbit","1336.3381","0.37 Mbit/s","0.3712","1,338 Mbit","1337.7633","0.37 Mbit/s","0.3716","34 Mbit","33.7858","","0.0094","5,951 Mbit","5951.2884","1.65 Mbit/s","1.6533","100 %","0000009999"
"1/29/2025 6:00:00 PM - 7:00:00 PM","45686.5000000000","2,633 Mbit","2632.5388","0.73 Mbit/s","0.7313","1,499 Mbit","1498.6241","0.42 Mbit/s","0.4163","1,499 Mbit","1498.7046","0.42 Mbit/s","0.4163","30 Mbit","29.6792","","0.0082","5,660 Mbit","5659.5467","1.57 Mbit/s","1.5722","100 %","0000009999"
"1/29/2025 7:00:00 PM - 8:00:00 PM","45686.5416666667","2,100 Mbit","2100.1430","0.58 Mbit/s","0.5834","1,420 Mbit","1419.5498","0.39 Mbit/s","0.3944","1,419 Mbit","1419.4617","0.39 Mbit/s","0.3943","30 Mbit","29.6122","","0.0082","4,969 Mbit","4968.7667","1.38 Mbit/s","1.3803","100 %","0000009999"
"1/29/2025 8:00:00 PM - 9:00:00 PM","45686.5833333333","2,774 Mbit","2774.4882","0.77 Mbit/s","0.7708","1,522 Mbit","1521.6891","0.42 Mbit/s","0.4227","1,522 Mbit","1522.0763","0.42 Mbit/s","0.4228","29 Mbit","29.0718","","0.0081","5,847 Mbit","5847.3253","1.62 Mbit/s","1.6244","100 %","0000009999"
"1/29/2025 9:00:00 PM - 10:00:00 PM","45686.6250000000","3,482 Mbit","3481.7424","0.97 Mbit/s","0.9672","1,550 Mbit","1549.9042","0.43 Mbit/s","0.4306","1,549 Mbit","1549.4013","0.43 Mbit/s","0.4304","30 Mbit","29.7752","","0.0083","6,611 Mbit","6610.8231","1.84 Mbit/s","1.8365","100 %","0000009999"
"1/29/2025 10:00:00 PM - 11:00:00 PM","45686.6666666667","4,199 Mbit","4199.2192","1.17 Mbit/s","1.1665","1,531 Mbit","1530.9187","0.43 Mbit/s","0.4253","1,530 Mbit","1529.5413","0.42 Mbit/s","0.4249","29 Mbit","28.6756","","0.0080","7,288 Mbit","7288.3548","2.02 Mbit/s","2.0247","100 %","0000009999"
"1/29/2025 11:00:00 PM - 12:00:00 AM","45686.7083333333","5,013 Mbit","5013.0515","1.39 Mbit/s","1.3926","1,530 Mbit","1530.2259","0.43 Mbit/s","0.4251","1,531 Mbit","1531.2601","0.43 Mbit/s","0.4254","28 Mbit","28.3470","","0.0079","8,103 Mbit","8102.8845","2.25 Mbit/s","2.2510","100 %","0000009999"
"1/30/2025 12:00:00 AM - 1:00:00 AM","45686.7500000000","5,420 Mbit","5419.6790","1.51 Mbit/s","1.5056","1,739 Mbit","1739.0435","0.48 Mbit/s","0.4831","1,739 Mbit","1739.0522","0.48 Mbit/s","0.4831","30 Mbit","30.3458","","0.0084","8,928 Mbit","8928.1205","2.48 Mbit/s","2.4802","100 %","0000009999"
"1/30/2025 1:00:00 AM - 2:00:00 AM","45686.7916666667","3,739 Mbit","3739.2556","1.04 Mbit/s","1.0388","1,533 Mbit","1533.3383","0.43 Mbit/s","0.4260","1,532 Mbit","1532.2725","0.43 Mbit/s","0.4257","29 Mbit","28.6388","","0.0080","6,834 Mbit","6833.5052","1.90 Mbit/s","1.8983","100 %","0000009999"
